A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=2,No message,0.9765,5.451654034691888,0.07102371293145017,10.492302317877071,False
Send a=2,Send a=1,0.9975,6.675961146483548,1.6436880659412656,11.070371150326086,False
Send a=2,Original (cross-fit),1.0,7.207375809953021,3.084504450978458,11.442588319005193,False
No message,Send a=1,0.796,1.1525576307966894,-1.7525478698111892,4.202601037154318,True
No message,Original (cross-fit),0.9205,1.7945178779395832,-0.8252007188023767,4.384212339246587,True
Send a=1,Original (cross-fit),0.6505,0.5911486213271715,-2.520806572243973,3.688517359140747,True
