policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),35.68766145448427,35.69635512377765,33.29480157156249,37.93514708441657,33.44017582455197,38.080521337406054
No message,38.030603357263516,38.05702289375099,34.75193713162397,41.38123101930361,34.67997569522342,41.30926958290306
Send a=1,38.02123904872585,38.024646604383314,34.41950667355513,41.56219113839639,34.48028695905531,41.62297142389658
Send a=2,40.2459854950776,40.25550731452736,36.276930136293984,44.06228852529784,36.42968246485736,44.21504085386121
