policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),34.374340727522565,34.39177304345208,32.54991705868695,36.05407071500211,32.69461074004302,36.19876439635818
No message,37.29813761324496,37.29585297043259,35.11543219927196,39.64387229326609,34.95240293322383,39.480843027217965
Send a=1,36.98095264950314,36.924023473584974,34.29182366293829,39.563872327031305,34.39803297197497,39.670081636067984
Send a=2,42.48760968285638,42.535000775311445,38.27110054428513,46.67338462133665,38.30183474437611,46.70411882142763
