A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=2,No message,0.975,5.281095543423213,0.0015148659010188023,10.02618698880479,False
Send a=2,Send a=1,0.993,5.619409084320065,1.0890006033149877,9.570101852030362,False
Send a=2,Original (cross-fit),1.0,8.167927973979225,4.416974452379587,11.630315961064516,False
No message,Send a=1,0.594,0.3448271107029264,-2.500500931610932,3.0509681572785206,True
No message,Original (cross-fit),0.999,2.9009351214847072,0.9449333036268108,4.834700847316434,False
Send a=1,Original (cross-fit),0.9955,2.584334656998916,0.6625347317876061,4.531807340158002,False
