A,B,n,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=2,Original (train-only),150,0.56,1.078420639038086,-21.98899712562561,19.79791469573975,True
Send a=2,No message,150,0.6,3.115388870239258,-42.84106359481812,65.3022791624071,True
Send a=2,Send a=1,150,0.68,4.331584930419922,-43.28625128269195,30.27229323387146,True
Original (train-only),No message,150,0.5466666666666666,1.0579919815063477,-47.75772862434387,64.4954312324526,True
Original (train-only),Send a=1,150,0.6266666666666667,4.038667678833008,-52.58007025718689,29.093668800592447,True
No message,Send a=1,150,0.58,3.692962646484375,-106.94016866683958,51.53798904418949,True
