policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),33.200419773926605,33.21862421809016,29.874622941017154,36.73627331031335,29.66456623753986,36.52621660683605
No message,35.099663914860905,35.08696102451634,32.11847916293789,38.29290547242036,31.906422357301455,38.08084866678392
Send a=1,40.34526721851246,40.33504563408928,37.64717288661648,43.093602295179636,37.596932141845286,43.04336155040844
Send a=2,37.64043075973923,37.73354437544539,34.60454883317689,40.65729951085271,34.623562008625754,40.67631268630157
