A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=1,Send a=2,0.935,2.696021879041517,-0.8688966351586458,6.10152811101964,True
Send a=1,No message,1.0,5.279359869054847,2.860024271784605,7.601320469057232,False
Send a=1,Original (cross-fit),1.0,7.151618177826336,3.891330697407594,10.004514872061238,False
Send a=2,No message,0.909,2.6980660155012828,-1.3180137221877604,6.264192666234195,True
Send a=2,Original (cross-fit),1.0,4.465014515696346,2.3039428369418995,6.641737812918587,False
No message,Original (cross-fit),0.9035,1.8398964791684538,-0.8324411698289805,4.529489768517982,True
