policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),35.713828731227565,35.74076002997321,34.05460250313218,37.45271717793233,33.9749402845228,37.37305495932295
No message,37.54466180543642,37.56900508983715,35.40955743145299,39.96805346849803,35.12127014237481,39.67976617941985
Send a=1,38.09383175824139,38.102487383662044,35.54539253776137,40.77703743238706,35.410626084095725,40.64227097872141
Send a=2,43.19753713865538,43.2340983571233,38.72727330697549,47.57759903057201,38.817475246738745,47.667800970335264
