policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),15.522034896386636,15.481443057189116,13.98446026879388,16.951779078470693,14.09229071430258,17.059609523979393
No message,30.98840092323922,31.146567117523503,21.77237756026759,40.336069927425,21.64073191905344,40.204424286210845
Send a=1,6.063926915864687,6.000784325438577,3.542997762802485,8.714352494719867,3.413501337009507,8.584856068926888
Send a=2,18.504240461297936,18.514087896089297,15.712371979855202,21.400051210699853,15.608429711896019,21.29610894274067
