A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
No message,Original (cross-fit),0.9975,12.72982508427388,3.3587787566958243,22.650002126113762,False
No message,Send a=2,1.0,23.677801866789117,17.55704601648691,29.889188445903155,False
No message,Send a=1,1.0,31.63768623165182,21.608766499403362,41.65341082827464,False
Original (cross-fit),Send a=2,1.0,10.87178120741973,4.9136023898382435,17.03086517469303,False
Original (cross-fit),Send a=1,1.0,18.667543259826864,11.784600611151873,25.628009741209645,False
Send a=2,Send a=1,0.9985,7.819454792383555,2.1206038699762257,13.185633855333185,False
