policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),33.60857342384957,33.669984366442705,30.370760299064017,37.01946441289541,30.19768243480373,36.846386548635124
No message,37.743433462606895,37.774580001831055,34.92247830726005,40.7150949387937,34.77177198642009,40.56438861795374
Send a=1,33.47247896967708,33.394224295745026,30.265596717112782,36.636257777342934,30.308700162011224,36.67936122224137
Send a=2,36.74303843524005,36.733377508215,33.9301664507067,39.53122992515564,33.95484694532446,39.555910419773404
