policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),36.61520720816947,36.6081329551903,35.13813335959976,38.12677878560246,35.103635630736484,38.09228105673918
No message,38.791110090307285,38.82984613727879,35.46318033836983,42.05881101634051,35.52340916427406,42.11903984224474
Send a=1,41.565040897678685,41.522168185259844,37.88989744573026,45.088935313353666,38.041146482003704,45.24018434962711
Send a=2,40.83295407166352,40.90312590470185,36.68248310282424,45.05430710122392,36.611601042103125,44.9834250405028
