A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=1,Send a=2,0.602,0.6593694944639488,-4.268734054952051,5.794991004789195,True
Send a=1,No message,0.884,2.7415506646439844,-1.6881281131022672,7.635201639098088,True
Send a=1,Original (cross-fit),0.993,4.851025967984587,1.107350261791335,9.199284197833082,False
Send a=2,No message,0.885,2.06896973944999,-1.169397731085085,5.2589219550828625,True
Send a=2,Original (cross-fit),0.9805,4.297632217407227,0.2692933939598684,8.045205962335743,False
No message,Original (cross-fit),0.926,2.230023719168994,-0.6187659869322906,4.980886785404101,True
