policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),26.148954133729678,26.08709206452241,22.557578651325127,29.70354691389445,22.594361353564906,29.74032961613423
No message,30.041828178070688,30.064104653693533,24.480502485584573,35.60116666418475,24.482489691956623,35.6031538705568
Send a=1,13.048153854705191,13.016586896132779,8.095215798672793,17.98033601371823,8.115971695692153,18.00109191073759
Send a=2,10.047146835842648,10.02663768304361,7.999547124875564,12.269556362886686,7.82473730879861,12.094746546809732
