policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),33.870298849569785,33.864794885790026,31.813642133248823,35.78764915337434,31.95294854576523,35.926955565890744
No message,39.761399294878984,39.78434415765711,37.801452310665226,41.83542533049712,37.68737325926085,41.72134627909274
Send a=1,37.497437657536686,37.467721990636875,35.86649109608418,39.0668895811648,35.92798573390857,39.12838421898919
Send a=2,34.05374856897303,34.0696054664818,30.803225427060518,37.273857380892785,30.833639757053273,37.30427171088554
