state_cols,n_cells,r_naive,V_naive,r_cv,V_cv
(none),1,1.9264685967941773,38.52937193588351,1.9264685967941773,38.52937193588351
slot,5,1.9036140433446465,38.072280866892896,1.8973574779219626,37.94714955843922
slot+weekday,35,2.042307869293898,40.84615738587792,1.7759611185508588,35.51922237101714
slot+dosage_bin,20,1.9979666041211448,39.95933208242286,1.8794558415864762,37.58911683172949
slot+steps30pre_bin,15,1.9085700532687764,38.17140106537549,1.8238186504709435,36.476373009418836
slot+weekday+dosage_bin,140,2.236444797573813,44.72889595147622,1.8905279098238141,37.81055819647625
slot+weekday+steps30pre_bin+dosage_bin,420,1.6087874943315235,32.17574988663044,1.9659189892485815,39.3183797849716
