policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),38.61057106224266,38.65595217008848,35.226609191379026,41.8292963156829,35.39184580880242,41.9945329331063
No message,34.28110308260531,34.263017602868985,31.526558261304295,37.24499814188159,31.317208023329037,37.03564790390633
Send a=1,39.6872396726866,39.73986352456583,36.47202170217359,42.86976671218872,36.50471263318448,42.90245764319961
Send a=2,37.916943266585065,37.971651566995156,35.15884753820058,40.7391532446887,35.09473328848143,40.67503899496955
