A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=1,Original (cross-fit),0.6785,1.0737990044258723,-3.4303769459595554,5.254106038325535,True
Send a=1,Send a=2,0.8255,1.735377517906393,-1.8502598298562583,5.364975345456926,True
Send a=1,No message,1.0,5.489590490186536,2.769784517545956,8.002959840362138,False
Original (cross-fit),Send a=2,0.8155,0.66795150653736,-0.8011266605274143,2.2004970318562256,True
Original (cross-fit),No message,0.99,4.369371001784867,0.7295147225663442,7.8853742161312566,False
Send a=2,No message,0.9845,3.764984130859375,0.3348672299771696,6.663844455255045,False
