A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=1,Original (cross-fit),0.9315,2.594947428316683,-0.9206828955057537,6.22017817626128,True
Send a=1,Send a=2,0.943,2.9732665500125357,-0.7569823033100797,6.710390783000632,True
Send a=1,No message,1.0,5.9199649063316535,3.1109861071045364,8.730124779005305,False
Original (cross-fit),Send a=2,0.5935,0.3516345926233235,-2.511434875952231,3.348435619715096,True
Original (cross-fit),No message,0.98,3.3770682747299645,0.20660380608326556,6.457113294343695,False
Send a=2,No message,0.949,3.0183076343020865,-0.6226535513594316,6.412798013558257,True
