policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),38.945515246004675,38.95498685579042,37.00706317360338,40.92957642529463,36.96145406671472,40.88396731840597
No message,34.65028465116346,34.612534400579094,31.528238247214134,37.798825133491206,31.501744168835717,37.77233105511279
Send a=1,40.40268562935494,40.4316030966269,36.88767543483425,43.97145676741729,36.833914491292596,43.91769582387563
Send a=2,37.71768585411278,37.7664680480957,34.894001838323234,40.51969453450796,34.9156771737176,40.541369869902326
