policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),34.19490412119273,34.25343577926223,32.3806081153251,36.290071214211956,32.0997370281735,36.00920012706035
No message,34.8113503069491,34.81922929351394,31.804976766818285,37.87971797891566,31.74298263498255,37.81772384707992
Send a=1,40.13933470442488,40.165812466595625,36.82645027057544,43.382453016332676,36.89621639251709,43.45221913827432
Send a=2,38.39346127896695,38.44209972587792,35.29328979543737,41.542462852838874,35.24445970509503,41.49363276249654
