state_cols,n_cells,r_naive,V_naive,r_cv,V_cv
(none),1,1.624174738147266,32.48349476294529,1.3283631739141257,26.56726347828249
slot,5,2.014545691154671,40.29091382309338,1.5354216536594623,30.70843307318922
slot+weekday,35,1.5789380559170048,31.57876111834007,1.6033164950288354,32.06632990057668
slot+dosage_bin,20,1.7273702421548176,34.547404843096324,1.7083352978284636,34.16670595656924
slot+steps30pre_bin,15,1.7992556660025047,35.98511332005006,1.5914647120735588,31.829294241471146
slot+weekday+dosage_bin,0,,,,
slot+weekday+steps30pre_bin+dosage_bin,0,,,,
