policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),38.776174803037904,38.835123964258145,37.002443865183245,40.81232883865769,36.740020767418116,40.54990574089256
No message,37.1657135937665,37.14824653316188,35.19529240324691,39.23033641608986,35.10109077144313,39.136134784286085
Send a=1,36.65167035283269,36.62431479789115,34.26096829981417,39.20855395858352,34.094786747081855,39.04237240585121
Send a=2,43.94381904602051,43.93611902803988,39.74655787364856,48.0120827314016,39.87555536063942,48.14108021839245
