A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=2,Original (cross-fit),0.9995,5.213912010192871,1.6039467760034554,8.705994660145521,False
Send a=2,No message,0.9975,6.793552269806732,1.9833244323730486,11.588203140207233,False
Send a=2,Send a=1,0.999,7.411866729323929,2.8319579111563233,11.523323667371583,False
Original (cross-fit),No message,0.874,1.6138099721960124,-1.2295562821465582,4.348038380854835,True
Original (cross-fit),Send a=1,0.8805,2.1339458259376336,-1.4546613358162526,5.5582796187014205,True
No message,Send a=1,0.654,0.5351456307076106,-2.1036574569908333,3.08677290194743,True
