state_cols,n_cells,r_naive,V_naive,r_cv,V_cv
(none),1,1.9264685967941304,38.52937193588257,1.9264685967941928,38.52937193588382
decision_slot,5,1.9035655629812742,38.07131125962545,1.9126425302857426,38.25285060571482
decision_slot+weekday,35,2.0409980349873362,40.81996069974669,1.8101364359224474,36.20272871844892
decision_slot+dosage_bin,20,2.0078412349490034,40.15682469898003,1.9321395594625879,38.642791189251724
decision_slot+steps30pre_bin,15,1.9090931366358395,38.18186273271675,1.8032816570921684,36.065633141843335
decision_slot+weekday+dosage_bin,140,2.2639926682986373,45.279853365972706,1.9015201872730199,38.03040374546036
decision_slot+weekday+steps30pre_bin+dosage_bin,420,1.6175960580403315,32.3519211608066,1.9504036272127043,39.00807254425405
