policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),37.49586553831358,37.487927462603594,35.163374773231716,39.75369747522715,35.23803360140001,39.828356303395445
No message,37.299427109795644,37.300700213458086,35.243562073320945,39.48208380969794,35.11677040989335,39.355292146270344
Send a=1,36.85906464344746,36.87853188128085,33.85297551026215,39.92229439310125,33.795834893793675,39.86515377663277
Send a=2,42.91823657783302,42.938361361220075,38.595845437694244,47.19938353718938,38.637089618476665,47.2406277179718
