policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),30.03740185660285,29.976485136392952,26.76377431154251,33.08763951481999,26.987164198385702,33.311029401663184
No message,50.785696532275225,50.79095922934042,33.45121796904387,67.35005189728092,34.22134116726953,68.12017509550658
Send a=1,10.40826407638756,10.26315048256436,5.348585448877233,14.794892319311966,6.0216358334631535,15.467942703897888
Send a=2,31.26064770930522,31.29579871409648,23.879253453177384,38.590632465723395,23.930662952887044,38.64204196543306
