A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=2,Send a=1,0.999,6.914860467653014,2.2824705497638607,11.16116372959034,False
Send a=2,No message,0.998,7.345584598747465,2.162235437212764,12.135381530426644,False
Send a=2,Original (cross-fit),1.0,9.67227960277248,7.238278744671803,12.078943198436018,False
Send a=1,No message,0.6145,0.46701766349173823,-2.602527726663122,3.495741186915218,True
Send a=1,Original (cross-fit),0.9815,2.756598137520456,0.15550023542867975,5.6784349196666,False
No message,Original (cross-fit),0.9035,2.3091191987733595,-1.1029797798878453,5.990946127917309,True
