policy,point_estimate,median,ci_low,ci_high,pct_ci_low,pct_ci_high
Original (cross-fit),34.26098890562315,34.26154572254903,32.229116852219036,36.38464770703702,32.13733010420928,36.292860959027266
No message,36.967427331048086,36.9558003657573,34.126730537414545,39.73429908365816,34.20055557843801,39.808124124681626
Send a=1,42.77582410863928,42.744962279861035,38.84283038087793,46.625664897867146,38.92598331941141,46.70881783640062
Send a=2,43.62160566690806,43.703274971729996,39.80881129986531,47.473762078542975,39.769449255273145,47.43440003395081
