A,B,P(A>B),median_diff,ci_low,ci_high,crosses_0
Send a=2,Send a=1,0.6115,1.0079835298899056,-5.922681176984634,7.611400786606043,True
Send a=2,No message,0.995,6.714352143777383,1.6435759467047628,11.458762145686793,False
Send a=2,Original (cross-fit),1.0,9.478192342294232,5.331601517909279,13.489776450234489,False
Send a=1,No message,1.0,5.785175168836442,2.6917702906840586,8.814878560401294,False
Send a=1,Original (cross-fit),1.0,8.531013308344662,4.973694757513094,11.922115758947417,False
No message,Original (cross-fit),0.993,2.7077936739534927,0.6082448418075919,4.956703196345145,False
